202596,35.284549713,-95.582588196,35.287521362,-95.582435608, M, S1200, N Main St,OK,Y,100.92
202597,34.504493713,-97.119590759,34.511451721,-97.122634888, M, S1200, N 3rd St,OK,Y,251.53
202598,35.790809631,-95.402542114,35.806766510,-95.401901245, M, S1200, N 32nd St,OK,Y,545.58
202599,35.756038666,-95.402618408,35.754974365,-95.402603149, M, S1200, N 32nd St,OK,Y,36.13
202600,35.620033264,-97.585090637,35.584304810,-97.582321167, M, S1200, N Portland Ave,OK,Y,1220.54
202601,35.623401642,-95.960334778,35.636375427,-95.961898804, M, S1200, N Wood Dr,OK,Y,447.47
202604,35.072521210,-96.856918335,35.072528839,-96.864334106, M, S1200, N State St,OK,Y,205.67
202605,36.448631287,-95.507057190,36.461551666,-95.493568420, M, S1200, N Hwy 66,OK,Y,572.03
202606,36.365318298,-95.632789612,36.391231537,-95.632751465, M, S1200, N Hwy 88,OK,Y,878.28
202607,34.960201263,-96.757614136,34.965362549,-96.757644653, M, S1200, N West St,OK,Y,174.99
202612,36.327911377,-95.991378784,36.357376099,-95.991409302, M, S1200, N 4th W Ave,OK,Y,998.81
202613,36.359317780,-95.991394043,36.360649109,-95.991363525, M, S1200, N 4th W Ave,OK,Y,45.19
202614,36.307590485,-95.991432190,36.310035706,-95.991470337, M, S1200, N Cincinnati,OK,Y,82.87
202615,35.966552734,-95.656692505,35.953090668,-95.646896362, M, S1200, N Hwy 51,OK,Y,532.45
202616,35.988491058,-95.671386719,35.988174438,-95.671180725, M, S1200, N Hwy 51,OK,Y,12.15
202618,35.276790619,-99.134963989,35.279834747,-99.134971619, M, S1200, N Rambo St,OK,Y,103.17
202619,35.291072845,-99.134941101,35.291301727,-99.134941101, M, S1200, N Rambo St,OK,Y,7.83
202621,36.308898926,-99.335891724,36.325263977,-99.336051941, M, S1200, N 206 Rd,OK,Y,555.01
202622,34.394039154,-96.124839783,34.390640259,-96.126335144, M, S1200, N Mississippi Ave,OK,Y,5385.22
202623,34.320392609,-96.167091370,34.321067810,-96.166748047, M, S1200, N Jefferson St,OK,Y,24.70
202624,35.413440704,-99.399673462,35.420501709,-99.399642944, M, S1200, N Van Buren Ave,OK,Y,239.56
202625,35.233215332,-99.647109985,35.247684479,-99.647003174, C, S1200, N Co Rd 1870,OK,Y,490.45
202626,36.115970612,-98.317077637,36.126247406,-98.317123413, M, S1200, N Main St,OK,Y,348.35
202627,33.990737915,-96.376396179,34.026580811,-96.372856140, M, S1200, N 1st Ave,OK,Y,1229.02
202628,35.475082397,-98.355445862,35.476943970,-98.355354309, M, S1200, N Broadway Ave,OK,Y,63.26
202629,35.478450775,-98.354919434,35.484886169,-98.350692749, M, S1200, N Broadway,OK,Y,248.68
202630,35.218582153,-98.412055969,35.233047485,-98.412071228, M, S1200, N Main,OK,Y,490.25
202631,35.507854462,-97.742523193,35.623821259,-97.745414734, M, S1200, N Piedmont Rd,OK,Y,3942.86
202632,35.533191681,-97.954902649,35.551292419,-97.954910278, M, S1200, N Choctaw Ave,OK,Y,613.78
202633,35.913349152,-94.970939636,35.915534973,-94.969894409, M, S1200, N Muskogee Ave,OK,Y,79.48
202634,35.139324188,-97.394676208,35.146060944,-97.394691467, M, S1200, N Main St,OK,Y,228.49
202635,35.232929230,-97.453369141,35.277233124,-97.482383728, M, S1200, N Flood Ave,OK,Y,1723.87
202636,34.158935547,-98.244155884,34.188026428,-98.244140625, M, S1200, N 2660,OK,Y,985.90
202637,34.357936859,-98.313514709,34.362098694,-98.313507080, M, S1200, N 7th St,OK,Y,140.99
202638,36.011878967,-96.098785400,35.999347687,-96.098808289, M, S1200, N Mission St,OK,Y,424.78
202639,35.743865967,-98.756271362,35.754192352,-98.756362915, M, S1200, N 15th St,OK,Y,350.09
202640,36.148117065,-98.924537659,36.152648926,-98.924667358, M, S1200, N Main St,OK,Y,153.80
202641,36.405384064,-97.890220642,36.404281616,-97.890182495, M, S1200, N Van Buren Byp,OK,Y,37.33
202642,34.628696442,-97.396453857,34.630168915,-97.396469116, M, S1200, N Main St,OK,Y,49.92
202643,35.051155090,-97.936889648,35.052391052,-97.936882019, M, S1200, N 4th St,OK,Y,41.96
202644,34.768848419,-97.958175659,34.787464142,-97.956222534, M, S1200, N Rush Ave,OK,Y,637.95
202645,34.797973633,-97.961189270,34.802677155,-97.965400696, M, S1200, N Rush Ave,OK,Y,197.92
202649,35.102809906,-98.746452332,35.108837128,-98.747367859, M, S1200, N 3rd St,OK,Y,207.45
202650,35.097587585,-98.743919373,35.097595215,-98.745216370, M, S1200, N Side,OK,Y,35.89
202653,35.949619293,-97.532844543,35.956432343,-97.533065796, M, S1200, N Western Ave,OK,Y,232.50
202654,36.054019928,-97.407676697,36.057575226,-97.407630920, M, S1200, N Hwy 77,OK,Y,120.53
202655,35.142852783,-97.658332825,35.143829346,-97.658340454, M, S1200, N Main,OK,Y,33.11
202657,34.098224640,-96.775306702,34.099819183,-96.775871277, M, S1200, N 1st St,OK,Y,56.73
202658,36.308078766,-95.318351746,36.316398621,-95.315589905, M, S1200, N Mill St,OK,Y,292.28
202659,35.797485352,-95.250312805,35.800762177,-95.254318237, M, S1200, N Lee St,OK,Y,157.38
202660,35.797149658,-95.216156006,35.798213959,-95.216567993, M, S1200, N 2 Mile Rd,OK,Y,39.21
202661,36.415500641,-96.389617920,36.434020996,-96.389694214, M, S1200, N Eastern Ave,OK,Y,627.71
202664,36.343372345,-96.800140381,36.355018616,-96.800048828, M, S1200, N Sewell Dr,OK,Y,394.73
202665,36.246509552,-97.068855286,36.202251434,-97.069923401, M, S1200, N Washington St,OK,Y,1505.26
202666,34.939304352,-95.732391357,34.924163818,-95.742576599, M, S1200, N George Nigh Expy,OK,Y,587.26
202667,36.312549591,-95.616020203,36.332618713,-95.604537964, M, S1200, N Hwy 66,OK,Y,754.42
202672,35.482036591,-95.079208374,35.551807404,-95.132560730, S, S1200, N State Hwy 10,OK,Y,3296.42
202673,35.526550293,-95.113395691,35.526775360,-95.113731384, M, S1200, N Railroad St,OK,Y,11.98
202674,34.368934631,-97.964172363,34.371986389,-97.964141846, M, S1200, N 3rd St,OK,Y,103.48
202675,36.365684509,-95.920837402,36.423702240,-95.920639038, M, S1200, N 49th E Ave,OK,Y,1966.44
202676,36.365684509,-95.920837402,36.423702240,-95.920639038, M, S1200, N Yale Ave,OK,Y,1966.44
202677,36.394691467,-95.991401672,36.409187317,-95.991439819, M, S1200, N 4th W Ave,OK,Y,491.30
